word;commonality
mom;6
easter;1
Mrs.;1
am;5
pretty;2
said;6
playing;2
going;6
made;4
played;1
are;6
potato;2
shopping;1
collect;1
loneliness;1
celebrate;1
football;1
decide;1
decided;1
feast;1
drainage;1
square;2
earth;1
penpal;1
reading;1
hope;1
math;1
also;2
cello;1
lucky;1
vacation;1
state;1
cant;1
lots;1
care;2
soccer;1
chewing;1
afraid;1
art;1
grandpa;2
mat;1
pilgrim;1
corn;2
center;1
pie;1
pumpkin;1
fourth;1
glad;1
cute;1
suddenly;1
doe;5
climate;1
above;1
butte;1
butt;1
mall;1
kind;3
flow;1
dust;1
area;1
found;4
crop;1
Lincoln;1
december;1
november;1
thanksgiving;1
Meadow;1
Lane;1
Nebraska;1
Lancaster;1
Indianapolis;1
Nebraskas;1
beet;1
mile;1
dentist;1
alot;1
china;1
elevation;1
fine;2
hobby;1
disadvantage;1
cranberry;1
summer;1
flat;2
famous;1
dwant;1
woh;1
coming;2
gotta;1
making;2
yummy;1
hah;1
done;4
dig;1
shhh;1
yum;1
oow;1
telling;1
sorry;2
broke;1
stuck;1
beautiful;1
finished;2
guy;5
Anna;1
lost;1
thirsty;1
grandma;1
hug;1
peanut butter;1
potty;1
bathroom;2
cereal;1
cookie;2
good bye;1
thank you;1
tire;1
tired;1
all done;1
Katie;1
stomp;1
Aaron;1
Colby;1
doghouse;1
noodle;1
peanut;1
playhouse;1
butter;1
thank;2
Missy;1
Susie;1
trying;2
gone;1
wand;1
ate;1
scissors;1
suppose;2
almost;3
Bobby;1
fence;1
ant;1
ok;2
shut;1
used;1
bean;1
candy;1
cup;1
bug;1
bet;1
eating;1
getting;1
jumping;1
looking;1
fixed;1
wanted;1
leaf;1
ya;1
most;2
may;2
someone;2
being;1
peace;1
hour;1
microphone;1
second;1
dang;1
pas;1
shall;1
rhombus;1
hell;1
polygon;1
shoot;1
awesome;1
voice;1
homie;1
bro;1
probably;1
crack;1
goal;1
Ms;1
cappuccino;1
damn;1
dollar;1
hundred;1
weird;1
jacket;1
trapezoid;1
dumb;1
hexagon;1
serve;1
rectangle;1
grade;1
zookeeper;1
blood;1
Chinese;1
narrow;1
wow;1
rotten;1
sun;1
movie;1
parallelogram;1
bagel;1
sauce;1
drama;1
recording;1
shape;1
father;1
Germany;1
heck;1
listen;1
basketball;1
bing;1
cheese;1
English;1
fuck;1
Thai;1
yesterday;1
